season,receiver_player_id,receiver_full_name,receiver_position,targets,ep_per_target
2022,00-0032392,Austin Hooper,TE,60,1.7773027696142285
2022,00-0032398,Chris Moore,WR,74,1.8832325727743338
2022,00-0032464,Kalif Raymond,WR,64,1.8881185526424815
2022,00-0032602,J.D. McKissic,RB,42,1.6670370414219686
2022,00-0032688,Robby Anderson,WR,44,1.5200710957115833
2022,00-0032764,Derrick Henry,RB,41,2.337162945444395
2022,00-0032775,Demarcus Robinson,WR,75,1.8250508251336093
2022,00-0033009,Tyler Boyd,WR,85,2.066961487168134
2022,00-0033040,Tyreek Hill,WR,170,1.6292243474875303
2022,00-0033090,Hunter Henry,TE,59,1.8793332332896138
2022,00-0033110,Tyler Higbee,TE,108,2.3434622835336123
2022,00-0033280,Christian McCaffrey,RB,108,1.928032298628952
2022,00-0033282,Curtis Samuel,WR,93,1.5797494463868218
2022,00-0033288,George Kittle,TE,86,2.204182447512298
2022,00-0033293,Aaron Jones,RB,73,2.12626946592374
2022,00-0033307,Kendrick Bourne,WR,48,1.5647289224331566
2022,00-0033466,Isaiah McKenzie,WR,65,2.2324879273020017
2022,00-0033526,Samaje Perine,RB,51,1.9832293856951781
2022,00-0033536,Mike Williams,WR,93,2.228733504866375
2022,00-0033553,James Conner,RB,58,1.327026153685814
2022,00-0033555,Mack Hollins,WR,94,1.8609084095932829
2022,00-0033591,Noah Brown,WR,75,1.9503495600565397
2022,00-0033699,Austin Ekeler,RB,127,2.2416567654849864
2022,00-0033757,Robert Tonyan,TE,67,1.670464164972281
2022,00-0033856,Leonard Fournette,RB,83,1.9861921956043842
2022,00-0033857,JuJu Smith-Schuster,WR,102,2.132312320083905
2022,00-0033871,Corey Davis,WR,64,1.4451952955187153
2022,00-0033881,Evan Engram,TE,101,1.7416025275330769
2022,00-0033885,David Njoku,TE,80,2.3028654149966314
2022,00-0033891,Zay Jones,WR,122,1.9866606403662495
2022,00-0033893,Dalvin Cook,RB,56,2.369840246187128
2022,00-0033895,Gerald Everett,TE,88,2.0622159179595396
2022,00-0033897,Joe Mixon,RB,75,2.424827638453571
2022,00-0033906,Alvin Kamara,RB,77,2.424185255004166
2022,00-0033908,Cooper Kupp,WR,98,2.0708737388895875
2022,00-0033921,Chris Godwin,WR,145,1.7011861918075588
2022,00-0033923,Kareem Hunt,RB,44,1.8147280388948275
2022,00-0033943,Josh Reynolds,WR,59,2.408821847079661
2022,00-0034270,Tyler Conklin,TE,87,1.3680567271072797
2022,00-0034272,Marquez Valdes-Scantling,WR,81,1.8838112420904778
2022,00-0034286,Richie James,WR,70,1.5725434456785607
2022,00-0034348,Courtland Sutton,WR,109,1.732114745491695
2022,00-0034351,Dallas Goedert,TE,69,2.1518438249704954
2022,00-0034364,Jordan Akins,TE,56,2.0408893233309584
2022,00-0034383,Dalton Schultz,TE,89,2.2522469301458856
2022,00-0034411,Russell Gage,WR,72,1.9622210977472065
2022,00-0034487,Trent Sherfield,WR,51,1.895309295445936
2022,00-0034521,Allen Lazard,WR,101,1.9388828552133535
2022,00-0034753,Mark Andrews,TE,114,1.9099171055069033
2022,00-0034764,Michael Gallup,WR,74,1.8439657123656348
2022,00-0034775,Christian Kirk,WR,134,2.147399712387283
2022,00-0034777,D.J. Chark,WR,52,2.0459152375753127
2022,00-0034827,D.J. Moore,WR,118,1.8076339055514221
2022,00-0034829,Mike Gesicki,TE,53,2.5678478274595977
2022,00-0034830,Hayden Hurst,TE,68,2.033115302395719
2022,00-0034844,Saquon Barkley,RB,77,1.5214014243424852
2022,00-0034860,Dante Pettis,WR,42,1.921279142644334
2022,00-0034960,Jakobi Meyers,WR,98,1.5145114756765996
2022,00-0034981,Foster Moreau,TE,54,1.9029540755215781
2022,00-0034983,Hunter Renfrow,WR,51,1.9322623284570688
2022,00-0035208,Olamide Zaccheaus,WR,61,1.6283140364131645
2022,00-0035216,Diontae Johnson,WR,149,1.9854724032021287
2022,00-0035229,T.J. Hockenson,TE,131,1.9507112598094631
2022,00-0035250,Devin Singletary,RB,52,2.3136429958876064
2022,00-0035261,Tony Pollard,RB,55,2.133382968388667
2022,00-0035298,Scott Miller,WR,40,2.324270056104433
2022,00-0035500,Greg Dortch,WR,64,1.8011713127898474
2022,00-0035535,Darius Slayton,WR,71,1.6114228252865843
2022,00-0035639,Parris Campbell,WR,92,1.8599274026025288
2022,00-0035640,DK Metcalf,WR,142,2.1548322097749426
2022,00-0035644,Noah Fant,TE,63,1.9412575156329985
2022,00-0035659,Terry McLaurin,WR,120,1.591457576000054
