season,posteam,games,team_pass_attempts,team_carries,team_rec_yds_exp,team_rec_td_exp,team_rush_td_exp,pass_attempts_pg,carries_pg
2023,MIA,17,566,456,4335.03,30.46,18.990000000000002,33.294117647058826,26.823529411764707
2023,MIN,17,631,393,4648.19,31.89,11.489999999999998,37.11764705882353,23.11764705882353
2023,NE,17,557,415,3789.8599999999997,14.329999999999998,6.010000000000002,32.76470588235294,24.41176470588235
2023,NO,17,606,480,4327.579999999999,29.45,20.06,35.64705882352941,28.235294117647058
2023,NYG,17,518,454,3341.67,13.84,9.17,30.470588235294116,26.705882352941178
2023,NYJ,17,601,388,3765.1199999999994,14.84,5.08,35.35294117647059,22.823529411764707
2023,PHI,17,563,510,4226.110000000001,22.729999999999997,25.179999999999996,33.11764705882353,30
2023,PIT,17,506,487,3388.6800000000007,15.2,13.81,29.764705882352942,28.647058823529413
2023,SEA,17,575,382,4010.1800000000003,25.760000000000005,14.790000000000001,33.8235294117647,22.470588235294116
2023,SF,17,491,499,3777.0699999999997,25.080000000000005,23.66,28.88235294117647,29.352941176470587
2023,TB,17,568,439,4000.39,27.19,11.409999999999997,33.411764705882355,25.823529411764707
2023,TEN,17,494,444,3432.8,19.34,11.820000000000002,29.058823529411764,26.11764705882353
2023,WAS,17,636,359,4234.320000000001,28.4,13.3,37.411764705882355,21.11764705882353
2024,ARI,17,543,463,3978.17,26.7,15.83,31.941176470588236,27.235294117647058
2024,ATL,17,559,495,4267.95,21.64,17.52,32.88235294117647,29.11764705882353
2024,BAL,17,477,554,3662.55,27.78,19.220000000000002,28.058823529411764,32.588235294117645
2024,BUF,17,520,491,3811.41,30.220000000000002,25.099999999999998,30.58823529411765,28.88235294117647
2024,CAR,17,547,410,3793.5300000000007,25.509999999999998,16.73,32.1764705882353,24.11764705882353
2024,CHI,17,566,431,3882.0399999999995,24.23,13.750000000000002,33.294117647058826,25.352941176470587
2024,CIN,17,652,380,4518.3099999999995,45.910000000000004,15.530000000000001,38.35294117647059,22.352941176470587
2024,CLE,17,661,391,4366.74,22.330000000000002,11.730000000000004,38.88235294117647,23
2024,DAL,17,637,429,4507.28,25.8,11.14,37.470588235294116,25.235294117647058
2024,DEN,17,570,461,3907,25.05,16.36,33.529411764705884,27.11764705882353
2024,DET,17,551,534,4390.549999999998,33.86,28.169999999999998,32.411764705882355,31.41176470588235
2024,GB,17,479,526,3524.6200000000003,26.869999999999994,20.400000000000002,28.176470588235293,30.941176470588236
2024,HOU,17,570,434,4389,28.1,14.360000000000001,33.529411764705884,25.529411764705884
2024,IND,17,513,496,4020.5400000000004,22.430000000000003,23.08,30.176470588235293,29.176470588235293
2024,JAX,17,546,414,3948.3700000000003,24.12,15.319999999999997,32.11764705882353,24.352941176470587
2024,KC,17,600,450,4051.980000000001,32.99,16.869999999999994,35.294117647058826,26.470588235294116
2024,LA,17,559,450,4085.84,26.88,15.12,32.88235294117647,26.470588235294116
2024,LAC,17,510,463,3806.7599999999993,24.329999999999995,17.59,30,27.235294117647058
2024,LV,17,635,380,4189.500000000001,20.4,14.370000000000001,37.35294117647059,22.352941176470587
2024,MIA,17,591,448,4079.16,26.509999999999998,14.44,34.76470588235294,26.352941176470587
2024,MIN,17,548,457,4290.429999999999,37.74000000000001,14.590000000000002,32.23529411764706,26.88235294117647
2024,NE,17,529,446,3376.08,19.839999999999996,12.520000000000001,31.11764705882353,26.235294117647058
2024,NO,17,551,444,4045.0600000000004,20.58,12.6,32.411764705882355,26.11764705882353
2024,NYG,17,591,424,3770.5999999999995,18.11,12.68,34.76470588235294,24.941176470588236
2024,NYJ,17,607,363,4013.8599999999997,30.72,7.639999999999999,35.705882352941174,21.352941176470587
2024,PHI,17,448,621,3197.5000000000005,22.89,29.099999999999998,26.352941176470587,36.529411764705884
2024,PIT,17,499,533,3346.3799999999997,21.090000000000003,16.09,29.352941176470587,31.352941176470587
2024,SEA,17,593,383,4156.56,22.74,14.57,34.88235294117647,22.529411764705884
2024,SF,17,533,457,4134.56,28.110000000000003,18.61,31.352941176470587,26.88235294117647
2024,TB,17,571,483,4214.9,33.660000000000004,17.02,33.588235294117645,28.41176470588235
2024,TEN,17,530,450,3566.6699999999996,18.080000000000002,8.410000000000002,31.176470588235293,26.470588235294116
2024,WAS,17,525,526,3873.400000000001,27.449999999999996,27.929999999999996,30.88235294117647,30.941176470588236
2025,ARI,17,649,366,4585.070000000001,32.769999999999996,14.299999999999999,38.1764705882353,21.529411764705884
2025,ATL,17,545,477,4087.56,19.61,15.260000000000002,32.05882352941177,28.058823529411764
2025,BAL,17,422,507,3139.9300000000003,21.4,22.48,24.823529411764707,29.823529411764707
2025,BUF,17,495,547,3746.11,25.700000000000003,26.66,29.11764705882353,32.1764705882353
2025,CAR,17,515,461,3474.2099999999996,21.93,10.049999999999999,30.294117647058822,27.11764705882353
