"season","week","player_id","full_name","position","posteam","receptions","receptions_exp","rush_attempt","rec_attempt","rush_yards_gained","rush_yards_gained_exp","rush_touchdown","rush_touchdown_exp","rec_touchdown","rec_touchdown_exp","rec_yards_gained","rec_yards_gained_exp","total_fantasy_points","total_fantasy_points_exp","total_fantasy_points_diff","total_touchdown_diff","expected_td_equity","team_rush_att","backfield_command","target_volume"
"2024",15,"00-0039299","George Holani","RB","SEA",0,0,3,0,10,17.77,0,0.01,0,0,0,0,1,1.87,-0.87,-0.01,0.01,14,0.214285714285714,0
"2024",15,"00-0037120","Tyler Goodson","RB","IND",0,0,1,0,3,3.56,0,0,0,0,0,0,0.3,0.39,-0.09,0,0,24,0.0416666666666667,0
"2024",15,"00-0033854","Dare Ogunbowale","RB","HOU",0,0,1,0,35,5.22,0,0.01,0,0,0,0,3.5,0.58,2.92,-0.01,0.01,13,0.0769230769230769,0
"2024",15,"00-0039874","Jaylen Wright","RB","MIA",0,0,1,0,3,4.65,0,0,0,0,0,0,0.3,0.47,-0.17,0,0,19,0.0526315789473684,0
"2024",15,"00-0036425","DeeJay Dallas","RB","ARI",0,0,4,0,15,12.48,0,0.04,0,0,0,0,1.5,1.49,0.01,-0.04,0.04,25,0.16,0
"2024",15,"00-0039921","Trey Benson","RB","ARI",0,0,5,0,22,23.87,0,0.03,0,0,0,0,2.2,2.56,-0.36,-0.03,0.03,25,0.2,0
"2024",15,"00-0039794","Braelon Allen","RB","NYJ",0,0,2,0,5,9.08,0,0,0,0,0,0,0.5,0.93,-0.43,0,0,16,0.125,0
"2024",15,"00-0034184","Gus Edwards","RB","LAC",0,0,8,0,23,37.14,0,0.08,0,0,0,0,2.3,4.19,-1.89,-0.08,0.08,11,0.727272727272727,0
"2024",15,"00-0038951","Sean Tucker","RB","TB",0,0,7,0,17,23.51,0,0.05,0,0,0,0,1.7,2.68,-0.98,-0.05,0.05,37,0.189189189189189,0
"2024",15,"00-0038611","Chris Rodriguez Jr.","RB","WAS",0,0,1,0,2,4.99,0,0,0,0,0,0,0.2,0.53,-0.33,0,0,24,0.0416666666666667,0
"2024",16,"00-0034208","Mike Boone","RB","CAR",0,0,1,0,1,3.17,0,0.06,0,0,0,0,0.1,0.65,-0.55,-0.06,0.06,29,0.0344827586206897,0
"2024",16,"00-0037429","Raheem Blackshear","RB","CAR",0,0,3,0,13,13.57,0,0.07,0,0,0,0,1.3,1.8,-0.5,-0.07,0.07,29,0.103448275862069,0
"2024",16,"00-0033925","D'Onta Foreman","RB","CLE",0,0,2,0,1,1.47,0,1.08,0,0,0,0,-1.9,6.61,-8.51,-1.08,1.08,15,0.133333333333333,0
"2024",16,"00-0039373","Audric Estimé","RB","DEN",0,0,9,0,48,37.29,1,0.46,0,0,0,0,10.8,6.51,4.29,0.54,0.46,17,0.529411764705882,0
"2024",16,"00-0039391","Kimani Vidal","RB","LAC",0,0,5,0,24,21.47,0,0.01,0,0,0,0,2.4,2.22,0.18,-0.01,0.01,19,0.263157894736842,0
