season,player_id,full_name,position,opps_rec,opps_rush,ep_total_rec,ep_total_rush,ep_per_opp_rec,ep_per_opp_rush
2024,00-0033293,Aaron Jones,RB,62,255,163.82723427237943,722.5449402265367,2.6423747463287004,2.8335095695158308
2024,00-0033375,Tim Patrick,WR,45,NA,103.47952915089252,NA,2.299545092242056,NA
2024,00-0033553,James Conner,RB,55,239,120.18285664916039,664.0145552142491,2.1851428481665525,2.778303578302297
2024,00-0033555,Mack Hollins,WR,50,NA,96.19176207206328,NA,1.9238352414412656,NA
2024,00-0033589,David Moore,WR,57,NA,130.45122355601052,NA,2.288617957122992,NA
2024,00-0033591,Noah Brown,WR,56,NA,96.56059726845706,NA,1.724296379793876,NA
2024,00-0033699,Austin Ekeler,RB,41,77,74.00708596233744,223.29532015352743,1.8050508771301814,2.8999392227730834
2024,00-0033858,Jonnu Smith,TE,111,NA,231.70677973271813,NA,2.0874484660605237,NA
2024,00-0033873,Patrick Mahomes,QB,NA,58,NA,108.99097897089086,NA,1.8791548098429458
2024,00-0033881,Evan Engram,TE,67,NA,97.22522194629676,NA,1.4511227156163693,NA
2024,00-0033885,David Njoku,TE,99,NA,199.31432349848887,NA,2.013275994934231,NA
2024,00-0033897,Joe Mixon,RB,52,247,123.08873051271075,681.2382132005876,2.3670909713982837,2.758049446156225
2024,00-0033906,Alvin Kamara,RB,89,228,168.03365749350633,594.9373448704137,1.8880186235225431,2.6093743196070776
2024,00-0033908,Cooper Kupp,WR,100,NA,182.53931874906993,NA,1.8253931874906992,NA
2024,00-0033921,Chris Godwin,WR,62,NA,118.32196193904383,NA,1.90841874095232,NA
2024,00-0033923,Kareem Hunt,RB,NA,200,NA,528.4750500678783,NA,2.642375250339392
2024,00-0033925,D'Onta Foreman,RB,NA,71,NA,176.14283754405915,NA,2.480885035831819
2024,00-0033948,Jamaal Williams,RB,NA,48,NA,132.44509830660536,NA,2.759272881387612
2024,00-0033955,Jeremy McNichols,RB,NA,56,NA,166.9236431263124,NA,2.980779341541293
2024,00-0034159,Will Dissly,TE,64,NA,116.99897890115972,NA,1.8281090453306206,NA
2024,00-0034184,Gus Edwards,RB,NA,102,NA,310.82011599962414,NA,3.047256039212001
2024,00-0034270,Tyler Conklin,TE,73,NA,147.26370167346602,NA,2.0173109818283015,NA
2024,00-0034272,Marquez Valdes-Scantling,WR,44,NA,72.16620049753692,NA,1.6401409203985662,NA
2024,00-0034348,Courtland Sutton,WR,135,NA,280.35796980786836,NA,2.0767257022805063,NA
2024,00-0034351,Dallas Goedert,TE,52,NA,117.75980075728148,NA,2.2646115530246442,NA
2024,00-0034364,Jordan Akins,TE,58,NA,107.43408194632502,NA,1.852311757695259,NA
2024,00-0034383,Dalton Schultz,TE,85,NA,140.71800572102075,NA,1.6555059496590676,NA
2024,00-0034407,Ray-Ray McCloud,WR,87,NA,142.53573996623163,NA,1.6383418386923174,NA
2024,00-0034521,Allen Lazard,WR,61,NA,124.37014300507144,NA,2.038854803361827,NA
2024,00-0034753,Mark Andrews,TE,69,NA,158.56722835855908,NA,2.2980757733124504,NA
2024,00-0034775,Christian Kirk,WR,47,NA,79.37563558729016,NA,1.6888433103678757,NA
2024,00-0034791,Nick Chubb,RB,NA,102,NA,264.7896966674598,NA,2.595977418308429
2024,00-0034796,Lamar Jackson,QB,NA,140,NA,290.8604578691155,NA,2.077574699065111
2024,00-0034827,DJ Moore,WR,142,NA,264.67898783463147,NA,1.8639365340467002,NA
2024,00-0034829,Mike Gesicki,TE,83,NA,179.9848458203487,NA,2.168492118317454,NA
2024,00-0034837,Calvin Ridley,WR,120,NA,203.71827624039724,NA,1.6976523020033105,NA
2024,00-0034844,Saquon Barkley,RB,43,348,96.9076417433098,893.4881783649759,2.253666087053716,2.567494765416597
2024,00-0034855,Baker Mayfield,QB,NA,60,NA,108.06453562548268,NA,1.8010755937580447
2024,00-0034857,Josh Allen,QB,NA,102,NA,264.17369842733024,NA,2.5899382198757865
2024,00-0034869,Sam Darnold,QB,NA,67,NA,124.52627220971044,NA,1.8586010777568722
2024,00-0034960,Jakobi Meyers,WR,130,NA,266.7870888790493,NA,2.0522083759926866,NA
2024,00-0034972,Alexander Mattison,RB,48,134,86.19764664210379,317.1513734608013,1.7957843050438291,2.366801294483592
2024,00-0034975,Justice Hill,RB,51,47,100.11976948968368,118.89936469990062,1.9631327350918366,2.529773717019162
2024,00-0034981,Foster Moreau,TE,43,NA,111.74148315814091,NA,2.598639143212579,NA
2024,00-0035208,Olamide Zaccheaus,WR,64,NA,142.19547934352886,NA,2.2218043647426384,NA
2024,00-0035216,Diontae Johnson,WR,67,NA,133.48502366855973,NA,1.9923137860979068,NA
2024,00-0035228,Kyler Murray,QB,NA,80,NA,175.62150077676029,NA,2.1952687597095037
2024,00-0035229,T.J. Hockenson,TE,62,NA,127.03157911880407,NA,2.0488964374000656,NA
2024,00-0035243,Miles Sanders,RB,NA,55,NA,137.39556047180668,NA,2.4981010994873936
2024,00-0035250,Devin Singletary,RB,NA,113,NA,269.32603161403676,NA,2.3834162089737765
2024,00-0035261,Tony Pollard,RB,57,261,90.5681133371545,581.3404200919466,1.5889142690728861,2.2273579313867686
